1	1	12762
1	2	13297
1	3	13582
1	4	14044
1	5	17766
1	6	17184
1	7	20284
1	8	17295
1	9	17844
1	10	16034
1	11	17621
1	12	16993
1	13	15524
1	14	14657
1	15	15365
1	16	15238
1	17	17217
1	18	17617
1	19	16276
1	20	15150
1	21	15392
1	22	15555
1	23	15165
1	24	14736
1	25	17263
1	26	17110
1	27	16308
1	28	15475
1	29	16678
1	30	15721
1	31	16996
2	1	18179
2	2	16878
2	3	16731
2	4	17599
2	5	16149
2	6	15172
2	7	14392
2	8	17477
2	9	14332
2	10	15171
2	11	15918
2	12	14278
2	13	15400
2	14	16634
2	15	19136
2	16	16387
2	17	14456
2	18	14975
2	19	14553
2	20	15144
2	21	17343
2	22	16160
2	23	15622
2	24	15216
2	25	14822
2	26	14951
2	27	15082
2	28	15716
3	1	15507
3	2	14896
3	3	15527
3	4	15002
3	5	14005
3	6	13308
3	7	13611
3	8	15512
3	9	15302
3	10	15257
3	11	14191
3	12	15049
3	13	14381
3	14	15740
3	15	15668
3	16	14876
3	17	15302
3	18	16154
3	19	16586
3	20	16583
3	21	15494
3	22	17359
3	23	15499
3	24	16449
3	25	15874
3	26	15619
3	27	13107
3	28	13505
3	29	13911
3	30	13881
3	31	12749
4	1	12899
4	2	12835
4	3	12437
4	4	12313
4	5	11015
4	6	9651
4	7	12200
4	8	12776
4	9	11430
4	13	12863
4	14	12870
4	15	12450
4	16	12271
4	17	12570
4	18	12604
4	19	15296
4	20	13145
4	21	12283
4	22	12629
4	23	12320
4	24	12278
4	25	14636
4	26	17391
4	27	16058
4	28	12855
4	29	13012
4	30	12182
5	1	16232
5	2	13527
5	3	16080
5	4	15018
5	5	14252
5	6	13583
5	7	12900
5	8	11343
5	9	11879
5	10	12214
5	11	14085
5	12	12404
5	13	12164
5	14	14192
5	15	14067
5	16	12520
5	17	12621
5	18	13482
5	19	13809
5	20	13120
5	21	14270
5	22	12087
5	23	11977
5	24	13436
5	25	14249
5	26	7873
5	27	2592
5	28	9492
5	29	12645
5	30	11951
5	31	13469
6	1	14814
6	2	12274
6	3	11841
6	4	11051
6	5	11230
6	6	12477
6	7	13443
6	8	12951
6	9	13207
6	10	12117
6	11	12479
6	12	13796
6	13	12882
6	14	14302
6	15	13578
6	16	12449
6	17	13338
6	18	13053
6	19	12366
6	20	11331
6	21	11772
6	22	12554
6	23	12066
6	24	13275
6	25	12766
6	26	13977
6	27	12149
6	28	12559
6	29	13783
6	30	13034
7	1	13047
7	2	12768
7	3	12517
7	4	11683
7	5	12839
7	6	14220
7	7	12670
7	8	13199
7	9	12536
7	10	11155
7	11	10849
7	12	11802
7	13	13938
7	14	12567
7	15	12346
7	16	11952
7	17	11186
7	18	12080
7	19	11136
7	20	12314
7	21	12040
7	22	11582
7	23	11731
7	24	10991
7	25	11310
7	26	11206
7	27	13331
7	28	11351
7	29	11910
7	30	11460
7	31	10820
8	1	12861
8	2	11381
8	3	11607
8	4	10725
8	5	11758
8	6	11635
8	7	476
9	3	11602
9	4	11971
9	5	11483
9	6	11344
9	7	11375
9	8	10634
9	9	11279
9	10	11963
9	11	11089
9	12	12022
9	13	15158
9	14	12956
9	15	13406
9	16	13806
9	17	12559
9	18	126
9	25	4021
9	26	8465
9	27	10405
9	28	9454
9	29	9520
9	30	11527
10	1	11752
10	2	11325
10	3	11552
10	4	12544
10	5	11192
10	6	10870
10	7	10920
10	8	11268
10	9	10908
10	10	10820
10	11	12415
10	12	11662
10	13	11107
10	14	11071
10	15	11231
10	16	10039
10	17	10995
10	18	4385
10	19	5735
10	20	10503
10	21	12238
10	22	10601
10	23	10234
10	24	10693
10	25	14502
10	26	12557
10	27	12061
10	28	12583
10	29	11010
10	30	10873
10	31	11526
11	1	12291
11	2	11482
11	3	12013
11	4	11282
11	5	10933
11	6	10729
11	7	11508
11	8	13515
11	9	11501
11	10	10670
11	11	10954
11	12	10599
11	13	8947
11	16	7089
11	17	13159
11	18	13068
11	19	11428
11	20	11790
11	21	12216
11	22	12921
11	23	10579
11	24	7518
11	25	11141
11	26	10173
11	27	9807
11	28	10995
11	29	13171
11	30	10699
12	1	10757
12	2	10991
12	3	11108
12	4	10409
12	5	10450
12	6	10807
12	7	11509
12	8	13946
12	9	11508
12	10	10841
12	11	10369
12	12	12130
12	13	12543
12	14	12050
12	15	10895
12	16	10413
12	17	10833
12	18	9431
12	19	10382
12	20	11874
12	21	9915
12	22	9896
12	23	9434
12	24	7981
12	25	7153
12	26	9564
12	27	10314
12	28	10698
12	29	10160
12	30	11017
12	31	8004
